,line_index_in_song,line_classified,line_label,line_score
0,1, now dad this is a very sensitive subject,POSITIVE,0.9996
1,2, just the two of us,POSITIVE,0.9991
2,3, just the two of us just the two of us,POSITIVE,0.9479
3,4, just the two of us just the two of us,POSITIVE,0.9479
4,5, from the first time the doctor placed you in my arms,POSITIVE,0.9974
5,6, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821
6,7, although questions arose in my mind would I be man enough,NEGATIVE,0.8954
7,8, against wrong choose right and be standing up,POSITIVE,0.9954
8,9, from the hospital that first night,NEGATIVE,0.923
9,10, took a hour just to get the car seat in right,NEGATIVE,0.9973
10,11, people driving all fast got me kinda upset,NEGATIVE,0.9961
11,12, got you home safe placed you in your bassinet,POSITIVE,0.9856
12,13, that night I don't think one wink I slept,NEGATIVE,0.9901
13,14, as I slipped out my bed to your crib I crept,NEGATIVE,0.9943
14,15, touched your head gently felt my heart melt,POSITIVE,0.9981
15,16, because I know I loved you more than life itself,POSITIVE,0.9994
16,17, then to my knees and I begged the lord please,NEGATIVE,0.9783
17,18, let me be a good daddy all he needs,POSITIVE,0.9993
18,19, love knowledge discipline too,POSITIVE,0.9996
19,20, I pledge my life to you,POSITIVE,0.9929
20,21, just the two of us we can make it if we try,POSITIVE,0.9997
21,22, just the two of us just the two of us,POSITIVE,0.9479
22,23, just the two of us building castles in the sky,POSITIVE,0.9989
23,24, just the two of us you and I,POSITIVE,0.9997
24,25, five years old bringin comedy,POSITIVE,0.9847
25,26, everytime I look at you I think man a little me,POSITIVE,0.9991
26,27, just like me wait and see gonna be tall,POSITIVE,0.999
27,28, makes me laugh because you got your dads ears and all,POSITIVE,0.9997
28,29, sometimes I wonder what you gonna be,POSITIVE,0.9986
29,30, a general a doctor maybe a mc,POSITIVE,0.8319
30,31, haha I wanna kiss you all the time,POSITIVE,0.9984
31,32, but I will test that butt when you cut outta line true that,POSITIVE,0.69
32,33, uh-uh-uh why you do that,NEGATIVE,0.9911
33,34, I try to be a tough dad but you be making me laugh,POSITIVE,0.9988
34,35, crazy joy when I see the eyes of my baby boy,POSITIVE,0.9999
35,36, I pledge to you I will always do,POSITIVE,0.9992
36,37, everything I can show you how to be a man,POSITIVE,0.9997
37,38, dignity integrity honor and,POSITIVE,0.9998
38,39, I don't mind if you lose long as you came with it,POSITIVE,0.6585
39,40, and you can cry ain't no shame in it,POSITIVE,0.9167
40,41, it didn't work out with me and your mom,NEGATIVE,0.9997
41,42, but yo push come to shove you was conceived in love,POSITIVE,0.8816
42,43, so if the world attacks and you slide off track,NEGATIVE,0.9971
43,44, remember one fact I got your back,NEGATIVE,0.9741
44,45, just the two of us we can make it if we try,POSITIVE,0.9997
45,46, just the two of us just the two of us,POSITIVE,0.9479
46,47, just the two of us building castles in the sky,POSITIVE,0.9989
47,48, just the two of us you and I,POSITIVE,0.9997
48,49, it's a full-time job to be a good dad,POSITIVE,0.9989
49,50, you got so much more stuff than I had,POSITIVE,0.9973
50,51, I gotta study just to keep with the changing times,POSITIVE,0.9152
51,52, 101 dalmations on your cd-rom,NEGATIVE,0.9601
52,53, see me I'm trying to pretend I know,NEGATIVE,0.9945
53,54, on my pc where that cd go,NEGATIVE,0.9854
54,55, but yo ain't nothing promised one day I'll be gone,NEGATIVE,0.9844
55,56, feel the strife but trust life does go on,POSITIVE,0.9953
56,57, but just in case it's my place to impart,POSITIVE,0.9657
57,58, one day some girl's gonna break your heart,POSITIVE,0.9951
58,59, and ooh ain't no pain like from the opposite sex,POSITIVE,0.9909
59,60, gonna hurt bad but don't take it out on the next son,NEGATIVE,0.9954
60,61, throughout life people will make you mad,NEGATIVE,0.9937
61,62, disrespect you and treat you bad,NEGATIVE,0.997
62,63, let god deal with the things they do,NEGATIVE,0.9065
63,64, because hate in your heart will consume you too,NEGATIVE,0.9677
64,65, always tell the truth say your prayers,POSITIVE,0.9981
65,66, hold doors pull out chairs easy on the swears,NEGATIVE,0.9656
66,67, you're living proof that dreams do come true,POSITIVE,0.9996
67,68, I love you and I'm here for you,POSITIVE,0.9999
68,69, just the two of us we can make it if we try,POSITIVE,0.9997
69,70, just the two of us just the two of us,POSITIVE,0.9479
70,71, just the two of us building castles in the sky,POSITIVE,0.9989
71,72, just the two of us you and I,POSITIVE,0.9997
72,73, this is a good song dad how much am I getting paid for this,POSITIVE,0.9994
