,abbreviation,part_of_speech,definition
0,CC,coordinating conjunction,
1,CD,cardinal digit,
2,DT,determiner,
3,EX,existential 'there' (example: 'there' is),
4,FW,foreign word,
5,IN,preposition/subordinating conjunction,
6,JJ,adjective (example: big),
7,JJR,comparative adjective (example: bigger),
8,JJS,superlative adjective (example: biggest),
9,LS,list marker (example: 1),
10,MD,"modal (example: could, will)",
11,NN,singular noun (example: desk),
12,NNS,plural noun (example: desks),
13,NNP,singular proper noun (example: Harrison),
14,NNPS,plural proper noun (example: Americans),
15,PDT,predeterminer (example: all the kids),
16,POS,possessive ending (example: parent's),
17,PRP,"personal pronoun (example: I, he, she)",
18,PRP$,"possessive pronoun (example: my, his, hers)",
19,RB,"adverb (example: very, silently)",
20,RBR,comparative adverb (example: better),
21,RBS,superlative adverb (example: best),
22,RP,particle (example: give up),
23,TO,to go (example: 'to' the store),
24,UH,interjection (example: errrm),
25,VB,"verb, base form (example: take)",
26,VBD,"verb, past tense (example: took)",
27,VBG,"verb, gerund/present participle (example: taking)",
28,VBN,"verb, past participle (example: taken)",
29,VBP,"verb, singular present, non-3d (example: take)",
30,VBZ,"verb, 3rd person singular present (example: takes)",
31,WDT,wh-determiner (example: which),
32,WP,"wh-pronoun (example: who, what)",
33,WP$,possessive wh-pronoun (example: whose),
34,WRB,"wh-abverb (example: where, when)",
